model,coverage_question_count,joined_prompt_question_count,coverage_category_count,coverage_task_count,coding_question_count,data_analysis_question_count,instruction_following_question_count,language_question_count,math_question_count,reasoning_question_count,raw_judgment_count,deduplicated_judgment_count,average_score,joined_average_score,full_success_rate,joined_full_success_rate,missing_question_count,missing_rate,has_large_missing
olmo-2-1124-13b-instruct,318,318,3,6,128,0,50,140,0,0,318,318,0.19700972992788301,0.19700972992788301,0.1509433962264151,0.1509433962264151,176,0.3562753036437247,True
open-mistral-nemo,293,293,3,6,128,0,25,140,0,0,293,293,0.24623228285876758,0.24623228285876758,0.19795221843003413,0.19795221843003413,201,0.4068825910931174,True
open-mixtral-8x22b,240,140,3,6,40,0,50,150,0,0,240,240,0.3113463040543743,0.3101785714285714,0.22083333333333333,0.22857142857142856,254,0.5141700404858299,True
open-mixtral-8x7b,40,40,1,2,40,0,0,0,0,0,40,40,0.15,0.15,0.15,0.15,454,0.9190283400809717,True
perplexity-sonar-reasoning,38,38,1,1,38,0,0,0,0,0,38,38,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,456,0.9230769230769231,True
phi-3-medium-4k-instruct,50,50,1,1,0,0,50,0,0,0,50,50,0.3953333333333333,0.3953333333333333,0.2,0.2,444,0.8987854251012146,True
phi-3-mini-128k-instruct,115,115,3,3,15,0,50,50,0,0,115,115,0.22115942028985508,0.22115942028985508,0.1565217391304348,0.1565217391304348,379,0.7672064777327935,True
phi-3-mini-4k-instruct,115,115,3,3,15,0,50,50,0,0,115,115,0.1946376811594203,0.1946376811594203,0.11304347826086956,0.11304347826086956,379,0.7672064777327935,True
phi-3-small-8k-instruct,50,50,1,1,0,0,50,0,0,0,50,50,0.44166666666666665,0.44166666666666665,0.28,0.28,444,0.8987854251012146,True
phi-4,328,228,3,6,128,0,50,150,0,0,328,328,0.33963578787032533,0.3394736842105263,0.27134146341463417,0.2850877192982456,166,0.3360323886639676,True
qwen1.5-0.5b-chat,15,15,1,1,15,0,0,0,0,0,15,15,0.0,,0.0,,479,0.9696356275303644,True
qwen1.5-1.8b-chat,15,15,1,1,15,0,0,0,0,0,15,15,0.0,,0.0,,479,0.9696356275303644,True
qwen1.5-110b-chat,15,15,1,1,15,0,0,0,0,0,15,15,0.2,0.2,0.2,0.2,479,0.9696356275303644,True
qwen1.5-4b-chat,15,15,1,1,15,0,0,0,0,0,15,15,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,479,0.9696356275303644,True
qwen1.5-72b-chat,15,15,1,1,15,0,0,0,0,0,15,15,0.2,0.2,0.2,0.2,479,0.9696356275303644,True
qwen1.5-7b-chat,15,15,1,1,15,0,0,0,0,0,15,15,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,479,0.9696356275303644,True
qwen2-72b-instruct,15,15,1,1,15,0,0,0,0,0,15,15,0.0,,0.0,,479,0.9696356275303644,True
qwen2-math-72b-instruct,293,293,3,6,128,0,25,140,0,0,293,293,0.3249130381686313,0.3249130381686313,0.2832764505119454,0.2832764505119454,201,0.4068825910931174,True
qwen2.5-72b-instruct-turbo,115,15,2,3,15,0,0,100,0,0,115,115,0.3894070274723303,0.3333333333333333,0.2608695652173913,0.3333333333333333,379,0.7672064777327935,True
qwen2.5-7b-instruct-turbo,115,15,2,3,15,0,0,100,0,0,115,115,0.22452778039724294,0.3333333333333333,0.16521739130434782,0.3333333333333333,379,0.7672064777327935,True
qwen2.5-coder-32b-instruct,98,0,1,2,0,0,0,98,0,0,98,98,0.369923210946011,,0.2653061224489796,,396,0.8016194331983806,True
qwen2.5-max,418,318,3,6,128,0,50,240,0,0,418,418,0.623286692795083,0.6275579815408309,0.49282296650717705,0.5251572327044025,76,0.15384615384615385,False
qwq-32b,418,318,3,6,128,0,50,240,0,0,418,418,0.6078832705213556,0.6633859861332113,0.5215311004784688,0.5911949685534591,76,0.15384615384615385,False
qwq-32b-preview,418,318,3,6,128,0,50,240,0,0,418,418,0.28854316073494185,0.30454283402149585,0.22009569377990432,0.24528301886792453,76,0.15384615384615385,False
reflection-llama-3.1-70b,15,15,1,1,15,0,0,0,0,0,15,15,0.2,0.2,0.2,0.2,479,0.9696356275303644,True
sky-t1-32b-preview,318,318,3,6,128,0,50,140,0,0,318,318,0.3928913532006981,0.3928913532006981,0.330188679245283,0.330188679245283,176,0.3562753036437247,True
sonar,393,393,3,7,128,0,75,190,0,0,521,393,0.48839771138704574,0.48839771138704574,0.4223918575063613,0.4223918575063613,101,0.20445344129554655,True
sonar-pro,318,318,3,6,128,0,50,140,0,0,318,318,0.6406620725501814,0.6406620725501814,0.5314465408805031,0.5314465408805031,176,0.3562753036437247,True
starling-lm-7b-beta,15,15,1,1,15,0,0,0,0,0,15,15,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,479,0.9696356275303644,True
step-2-16k-202411,493,393,3,7,128,0,75,290,0,0,621,493,0.5135800557444806,0.537753985382417,0.4158215010141988,0.4580152671755725,1,0.0020242914979757085,False
vicuna-7b-v1.5,293,293,3,6,128,0,25,140,0,0,293,293,0.10045617180406541,0.10045617180406541,0.07508532423208192,0.07508532423208192,201,0.4068825910931174,True
vicuna-7b-v1.5-16k,293,293,3,6,128,0,25,140,0,0,293,293,0.10113600437258513,0.10113600437258513,0.07849829351535836,0.07849829351535836,201,0.4068825910931174,True
wbot-4:347b_no_s,318,318,3,6,128,0,50,140,0,0,318,318,0.5109321467277591,0.5109321467277591,0.44025157232704404,0.44025157232704404,176,0.3562753036437247,True
yi-6b-chat,15,15,1,1,15,0,0,0,0,0,15,15,0.0,,0.0,,479,0.9696356275303644,True
zephyr-7b-alpha,293,293,3,6,128,0,25,140,0,0,293,293,0.14238698748817752,0.14238698748817752,0.11604095563139932,0.11604095563139932,201,0.4068825910931174,True
zephyr-7b-beta,293,293,3,6,128,0,25,140,0,0,293,293,0.1093856354854566,0.1093856354854566,0.08532423208191127,0.08532423208191127,201,0.4068825910931174,True
